UrbanBeamGain,SubUrbanBeamGain,GasLoss,ClutterGain,PL
18,-12.63763335,-13.11450631,0.140441834,-6.021075176,201.3048662
19,-13.30575552,-14.87621424,0.133698747,-5.888437243,201.2830267
20,-12.65427194,-13.34670044,0.12695566,-5.769858498,201.2613208
21,-11.73095146,-11.86507066,0.121456122,-5.663302214,201.2397551
22,-11.24028747,-11.86886664,0.115956584,-5.566667899,201.2183363
23,-11.36906566,-13.39108189,0.111392277,-5.478480186,201.197071
24,-12.12191313,-15.87775884,0.106827969,-5.397441146,201.1759657
25,-13.41146952,-16.79667354,0.102984757,-5.322394265,201.1550269
26,-14.94740109,-15.21075992,0.099141544,-5.252719938,201.134261
27,-16.03654833,-13.95069086,0.095866113,-5.187343972,201.1136745
28,-16.00682469,-13.9685805,0.092590681,-5.125723203,201.0932735
29,-15.2036622,-15.270227,0.089770409,-5.067384351,201.0730643
30,-14.3965772,-17.42918684,0.086950136,-5.011891572,201.0530531
31,-13.97163872,-18.66959032,0.085021569,-4.958846354,201.033246
32,-14.02778438,-17.61969506,0.083093003,-4.907886713,201.013649
33,-14.55847266,-16.26043815,0.081164436,-4.858685848,200.994268
34,-15.50748701,-15.81825459,0.07923587,-4.811128373,200.975109
35,-16.73541797,-16.44666594,0.077307303,-4.765019678,200.9561778
36,-17.92701604,-18.00353957,0.075378736,-4.720032873,200.93748
37,-18.59764016,-19.84953805,0.07345017,-4.676276347,200.9190214
38,-18.49047387,-20.42681053,0.071521603,-4.633382202,200.9008075
39,-17.89750038,-19.41344433,0.069593037,-4.591382984,200.8828437
40,-17.26463935,-18.32795233,0.06766447,-4.550194228,200.8651355
41,-16.84721455,-17.94149477,0.066576863,-4.509570878,200.8476882
42,-16.73604044,-18.3699378,0.065489257,-4.469696242,200.830507
43,-16.94453365,-19.53183966,0.064401651,-4.430363522,200.8135971
44,-17.45285293,-21.12469518,0.063314044,-4.391448663,200.7969635
45,-18.21935677,-22.34539599,0.062226438,-4.353042192,200.7806112
46,-19.17040967,-22.32423738,0.061138831,-4.315130294,200.764545
47,-20.17670927,-21.46640635,0.060051225,-4.277530487,200.7487698
48,-21.0410852,-20.68263215,0.058963618,-4.24021541,200.7332902
